title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,top year,artist_type,pop
Don't Tell 'Em,Jeremih,chicago rap,2015,2020‑06‑10,98,53,86,-5,11,39,267,39,10,2014,Solo,80
Bang Bang,Jessie J,dance pop,2014,2020‑06‑10,150,79,71,-3,38,75,199,26,9,2014,Solo,83
All of Me,John Legend,neo soul,2013,2020‑06‑10,120,26,42,-7,13,33,270,92,3,2014,Solo,90
Not a Bad Thing,Justin Timberlake,dance pop,2013,2020‑06‑10,86,56,31,-9,13,11,688,53,7,2014,Solo,61
Dark Horse,Katy Perry,dance pop,2013,2020‑06‑10,132,59,65,-6,17,35,216,0,5,2014,Solo,79
Show Me (feat. Chris Brown),Kid Ink,dance pop,2014,2020‑06‑10,98,51,71,-7,14,66,218,4,5,2014,Solo,74
Hideaway,Kiesza,electropop,2014,2020‑06‑10,123,72,84,-4,8,20,252,9,5,2014,Solo,70
Jubel - Radio Edit,Klingande,deep house,2013,2020‑06‑29,125,52,69,-7,14,10,202,65,3,2014,Duo,55
Jealous,Labrinth,indie poptimism,2014,2020‑06‑10,117,15,44,-9,11,10,288,87,5,2014,Solo,82
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2014,2020‑06‑10,123,88,76,-6,60,80,189,2,3,2014,Duo,77
Team,Lorde,art pop,2013,2020‑06‑10,100,58,69,-7,31,42,193,17,9,2014,Solo,82
Rude,MAGIC!,reggae fusion,2014,2020‑06‑10,144,76,77,-5,31,93,225,4,4,2014,Band/Group,85
Maps,Maroon 5,pop,2014,2020‑06‑10,120,71,74,-6,6,88,190,2,3,2014,Band/Group,87
Animals,Maroon 5,pop,2014,2020‑06‑10,190,74,28,-6,59,33,231,0,9,2014,Band/Group,85
Sugar,Maroon 5,pop,2014,2020‑06‑10,120,79,75,-7,9,88,235,6,3,2014,Band/Group,85
All About That Bass,Meghan Trainor,dance pop,2015,2020‑06‑10,134,89,81,-4,12,96,188,6,5,2014,Solo,78
Stolen Dance,Milky Chance,german pop,2014,2020‑06‑10,114,58,89,-9,8,73,314,43,4,2014,Band/Group,78
Classic,MKTO,dance pop,2012,2020‑06‑10,102,79,72,-5,16,76,175,4,12,2014,Duo,87
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,2014,2020‑06‑10,120,51,83,-9,8,45,208,1,4,2014,Solo,82
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑10,105,52,83,-9,7,74,190,0,4,2014,Solo,71
Jealous - Remix,Nick Jonas,dance pop,2015,2020‑06‑10,93,71,68,-4,44,45,222,1,8,2014,Solo,71
Anaconda,Nicki Minaj,dance pop,2014,2020‑06‑10,130,61,96,-6,21,65,260,7,18,2014,Solo,70
Am I Wrong,Nico & Vinz,pop rap,2014,2020‑06‑10,120,68,73,-6,55,78,246,18,3,2014,Duo,82
CoCo,O.T. Genasis,pop rap,2014,2020‑06‑10,120,63,89,-6,31,18,240,0,13,2014,Solo,66
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,2014,2020‑06‑10,125,89,61,-5,34,76,165,1,6,2014,Solo,73
Wrapped Up,Olly Murs,dance pop,2014,2020‑06‑10,122,84,79,-5,16,92,186,9,6,2014,Solo,68
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑10,97,68,73,-6,21,70,227,7,4,2014,Solo,60
Night Changes,One Direction,boy band,2014,2020‑06‑10,120,52,67,-8,12,37,227,86,4,2014,Band/Group,88
Steal My Girl,One Direction,boy band,2014,2020‑06‑10,77,77,54,-6,11,55,228,0,3,2014,Band/Group,84
Counting Stars,OneRepublic,dance pop,2014,2020‑06‑10,122,71,66,-5,12,48,258,7,4,2014,Band/Group,80
Love Runs Out,OneRepublic,dance pop,2014,2020‑06‑19,120,94,72,-4,10,74,224,17,6,2014,Band/Group,65
Only Love Can Hurt Like This,Paloma Faith,british soul,2014,2020‑08‑20,91,89,57,-5,33,30,233,10,8,2014,Solo,85
Ain't It Fun,Paramore,candy pop,2013,2020‑06‑10,104,89,61,-4,2,67,297,15,9,2014,Band/Group,78
High (feat. Nicole Millar),Peking Duk,aussietronica,2014,2020‑06‑29,100,80,53,-4,29,38,228,0,5,2014,Band/Group,54
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,2014,2020‑06‑10,160,82,65,-5,9,96,233,22,18,2014,Solo,85
Timber (feat. Ke$ha),Pitbull,dance pop,2012,2020‑06‑10,130,96,58,-4,14,79,204,3,10,2014,Solo,86
Me And My Broken Heart,Rixton,pop,2014,2020‑06‑10,174,78,55,-4,13,55,194,0,3,2014,Duo,83
My Love (feat. Jess Glynne),Route 94,deep groove house,2014,2020‑06‑10,120,62,81,-8,7,73,260,0,5,2014,Solo,78
Stay With Me,Sam Smith,dance pop,2014,2020‑06‑10,84,42,42,-6,11,18,173,59,4,2014,Solo,86
Money On My Mind,Sam Smith,dance pop,2014,2020‑06‑10,134,84,69,-5,23,74,193,20,18,2014,Solo,67
Collard Greens,ScHoolboy Q,gangster rap,2014,2020‑06‑10,154,57,83,-5,21,65,300,3,6,2014,Solo,84
Man Of The Year,ScHoolboy Q,gangster rap,2014,2020‑06‑10,112,87,75,-5,20,37,216,1,4,2014,Solo,76
Geronimo,Sheppard,australian indie,2015,2020‑06‑10,142,78,71,-6,12,46,218,46,8,2014,Band/Group,69
Chandelier,Sia,australian dance,2015,2020‑06‑10,117,79,40,-3,7,57,216,2,5,2014,Solo,73
Elastic Heart,Sia,australian dance,2015,2020‑06‑10,130,79,42,-5,15,50,257,1,5,2014,Solo,68
Nobody To Love,Sigma,dance pop,2014,2020‑06‑10,88,91,52,-3,20,23,190,0,4,2014,Solo,55
Style,Taylor Swift,pop,2014,2020‑06‑10,95,79,59,-6,12,49,231,0,4,2014,Solo,66
Bad Blood,Taylor Swift,pop,2014,2020‑06‑10,170,79,65,-6,20,29,212,9,19,2014,Solo,60
Shake It Off,Taylor Swift,pop,2014,2020‑06‑10,160,79,65,-5,15,94,219,6,17,2014,Solo,77
#SELFIE,The Chainsmokers,dance pop,2014,2020‑06‑10,128,92,79,-3,8,66,184,1,25,2014,Duo,69
Superheroes,The Script,celtic rock,2014,2020‑06‑10,167,89,49,-4,7,64,245,0,4,2014,Band/Group,79
Wasted,Tiësto,big room,2014,2020‑06‑10,112,82,64,-6,20,39,190,0,3,2014,Solo,68
Red Lights,Tiësto,big room,2014,2020‑06‑11,125,83,65,-5,12,55,262,0,4,2014,Solo,72
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,2020‑06‑10,101,60,74,-8,11,43,227,15,11,2014,Solo,77
Habits (Stay High),Tove Lo,art pop,2014,2020‑06‑10,110,65,73,-4,8,35,209,7,3,2014,Solo,78
Talking Body,Tove Lo,art pop,2014,2020‑06‑10,120,76,74,-5,8,11,238,10,3,2014,Solo,72
Na Na,Trey Songz,dance pop,2015,2020‑06‑10,97,48,67,-6,10,24,232,33,4,2014,Solo,68
Riptide,Vance Joy,folk-pop,2014,2020‑06‑10,102,73,48,-7,15,51,204,43,4,2014,Solo,83
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,2020‑06‑10,128,74,60,-3,9,46,217,11,4,2014,Solo,69
Faded,ZHU,edm,2014,2020‑06‑10,125,48,87,-7,11,61,223,1,5,2014,Solo,66
Ghost Town,Adam Lambert,dance pop,2015,2020‑06‑22,120,74,70,-6,17,27,208,19,5,2015,Solo,69
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑22,120,82,38,-4,8,33,199,8,10,2015,Solo,71
"Honey, I'm Good.",Andy Grammer,dance pop,2014,2020‑06‑19,122,78,75,-7,35,60,199,3,5,2015,Solo,78
Love Me Harder,Ariana Grande,dance pop,2014,2020‑06‑19,99,71,47,-4,8,24,236,1,3,2015,Solo,79
The Nights,Avicii,dance pop,2014,2020‑06‑19,126,84,53,-5,25,65,177,2,4,2015,Solo,89
Waiting For Love,Avicii,dance pop,2015,2020‑06‑19,128,74,58,-4,20,61,231,31,5,2015,Solo,84
  7/11,Beyoncé,dance pop,2014,2020‑06‑19,136,71,75,-5,13,56,214,1,13,2015,Solo,74
I Don't Fuck With You,Big Sean,detroit hip hop,2015,2020‑06‑19,98,73,82,-5,33,40,284,4,6,2015,Solo,80
Electric Love,BØRNS,modern rock,2015,2020‑06‑19,120,80,61,-8,26,52,218,1,5,2015,Solo,86
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑06‑19,97,36,77,-6,10,19,198,22,20,2015,Solo,83
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2020‑06‑19,128,82,65,-4,32,42,227,21,4,2015,Solo,82
How Deep Is Your Love,Calvin Harris,dance pop,2015,2020‑06‑19,122,87,74,-4,39,34,213,4,7,2015,Solo,80
Ayo,Chris Brown,dance pop,2015,2020‑06‑19,98,56,82,-5,9,68,225,4,4,2015,Solo,76
Cool for the Summer,Demi Lovato,dance pop,2015,2020‑06‑19,114,61,58,-6,14,34,215,0,4,2015,Solo,78
Confident,Demi Lovato,dance pop,2015,2020‑06‑19,130,75,59,-6,9,34,206,0,7,2015,Solo,69
Five More Hours,Deorro,dance pop,2017,2020‑06‑19,128,88,70,-3,82,50,212,3,22,2015,Solo,74
Omen - Radio Edit,Disclosure,edm,2015,2020‑06‑19,106,79,67,-5,36,62,197,12,14,2015,Duo,68
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑19,196,73,41,-5,31,25,247,1,19,2015,Solo,74
Hotline Bling,Drake,canadian hip hop,2016,2020‑06‑19,135,63,89,-8,5,55,267,0,6,2015,Solo,82
Jumpman,Drake,canadian hip hop,2015,2020‑06‑19,142,55,85,-7,33,66,206,6,19,2015,Solo,76
Thinking out Loud,Ed Sheeran,pop,2014,2020‑06‑19,79,45,78,-6,18,59,282,47,3,2015,Solo,86
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,2020‑06‑19,190,61,26,-7,13,28,253,25,5,2015,Solo,83
On My Mind,Ellie Goulding,dance pop,2015,2020‑06‑22,155,71,70,-7,9,74,213,26,5,2015,Solo,69
Centuries,Fall Out Boy,emo,2015,2020‑06‑19,176,86,39,-3,10,56,228,0,7,2015,Band/Group,84
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,2020‑06‑19,190,72,62,-6,63,60,197,0,32,2015,Solo,79
Trap Queen,Fetty Wap,new jersey rap,2015,2020‑06‑19,148,87,75,-4,35,82,222,2,13,2015,Solo,78
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,2020‑06‑19,128,74,75,-3,15,54,213,0,5,2015,Solo,71
My House,Flo Rida,dance pop,2015,2020‑06‑19,94,70,69,-5,13,74,192,2,5,2015,Solo,81
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,2020‑06‑19,146,83,66,-4,7,69,190,0,7,2015,Solo,75
Mountain at My Gates,Foals,indie rock,2015,2021‑08‑09,104,93,50,-5,25,62,244,0,5,2015,Band/Group,69
Runaway (U & I),Galantis,dance pop,2015,2020‑06‑19,126,81,51,-4,9,38,227,1,5,2015,Duo,79
Barcelona,George Ezra,folk-pop,2014,2021‑08‑09,94,57,63,-9,11,18,189,32,3,2015,Solo,70
Love Myself,Hailee Steinfeld,dance pop,2016,2020‑06‑19,123,76,62,-7,42,32,219,0,7,2015,Solo,75
Take Me to Church,Hozier,irish singer-songwriter,2014,2020‑06‑19,129,66,57,-5,12,44,242,63,5,2015,Solo,80
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,2020‑06‑19,139,78,43,-4,8,20,250,4,6,2015,Duo,78
oui,Jeremih,chicago rap,2015,2020‑06‑19,79,72,42,-4,11,60,238,21,10,2015,Solo,82
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,2020‑08‑11,94,59,79,-6,29,59,226,19,3,2015,Solo,63
What Do You Mean?,Justin Bieber,canadian pop,2015,2020‑06‑19,125,57,85,-8,8,79,206,59,10,2015,Solo,81
Way down We Go,KALEO,icelandic indie,2016,2021‑08‑09,163,51,49,-8,10,34,214,58,12,2015,Band/Group,81
King Kunta,Kendrick Lamar,conscious hip hop,2015,2020‑06‑19,107,66,88,-5,15,49,235,1,10,2015,Solo,79
Stole the Show,Kygo,edm,2016,2020‑06‑19,100,64,64,-8,32,48,223,27,23,2015,Solo,78
Nothing Left (feat. Will Heard),Kygo,edm,2015,2020‑06‑19,154,58,68,-7,37,35,237,26,4,2015,Solo,59
High By The Beach,Lana Del Rey,art pop,2015,2021‑08‑09,132,49,54,-11,12,10,258,24,3,2015,Solo,71
Hurt Me,Låpsley,electropop,2016,2020‑06‑19,138,73,66,-5,16,59,231,69,13,2015,Solo,55
Closer,Lemaitre,alternative dance,2017,2021‑08‑09,92,79,58,-4,12,36,271,0,3,2015,Duo,64
Lot to Learn,Luke Christopher,indie pop rap,2015,2020‑06‑19,82,85,41,-4,7,60,248,9,20,2015,Solo,66
Lean On,Major Lazer,dance pop,2015,2020‑06‑19,98,81,72,-3,56,27,177,0,6,2015,Trio,76
Light It Up - Remix,Major Lazer,dance pop,2015,2020‑06‑19,108,88,75,-4,23,75,166,4,7,2015,Trio,71
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,2020‑06‑19,115,61,86,-7,3,93,270,1,8,2015,Solo,86
Intoxicated - Radio Edit,Martin Solveig,dance pop,2015,2020‑06‑19,125,69,79,-4,10,50,160,0,4,2015,Solo,62
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,2020‑06‑19,78,66,59,-5,12,25,224,2,20,2015,Solo,73
Believe,Mumford & Sons,modern folk rock,2015,2020‑06‑19,114,62,36,-7,22,42,221,3,4,2015,Band/Group,61
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑19,105,52,83,-9,7,74,190,0,4,2015,Solo,69
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,2015,2020‑06‑22,104,44,77,-6,12,74,186,44,4,2015,Duo,62
Drive,Oh Wonder,electropop,2015,2021‑08‑09,142,46,66,-8,8,38,196,71,10,2015,Duo,65
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑19,97,68,73,-6,21,70,227,7,4,2015,Solo,76
Drag Me Down,One Direction,boy band,2015,2020‑06‑19,138,70,73,-6,7,60,192,11,4,2015,Band/Group,84
Perfect,One Direction,boy band,2015,2020‑06‑19,100,82,65,-5,12,40,230,6,8,2015,Band/Group,81
Sunset Lover,Petit Biscuit,new french touch,2015,2020‑06‑19,91,47,78,-9,11,24,238,73,5,2015,Solo,75
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,2020‑06‑19,123,83,65,-4,10,41,178,1,3,2015,Solo,70
Time of Our Lives,Pitbull,dance pop,2014,2020‑06‑19,124,80,72,-6,69,72,229,9,6,2015,Solo,85
No Type,Rae Sremmurd,hip hop,2015,2020‑06‑19,125,49,89,-8,9,24,200,2,16,2015,Duo,77
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,2020‑06‑19,82,61,73,-8,19,89,177,4,5,2015,Solo,70
FourFiveSeconds,Rihanna,barbadian pop,2015,2020‑06‑19,206,27,58,-6,13,35,188,88,5,2015,Solo,82
Bitch Better Have My Money,Rihanna,barbadian pop,2015,2020‑06‑19,103,73,78,-5,26,40,219,5,6,2015,Solo,78
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2020‑06‑19,108,43,89,-10,9,23,177,3,14,2015,Solo,81
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,2020‑06‑19,123,82,64,-5,16,64,219,2,6,2015,Solo,81
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,2015,2020‑06‑19,123,75,67,-7,19,48,242,14,4,2015,Band/Group,55
Like I Can,Sam Smith,dance pop,2014,2020‑06‑19,100,63,66,-7,12,48,167,34,4,2015,Solo,85
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020‑06‑19,186,66,34,-6,6,29,199,17,10,2015,Solo,60
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑22,98,59,67,-4,21,44,229,2,3,2015,Solo,70
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑19,111,50,81,-7,34,47,201,1,12,2015,Solo,68
Good For You,Selena Gomez,dance pop,2015,2020‑06‑22,89,68,61,-6,9,21,222,18,5,2015,Solo,62
Geronimo,Sheppard,australian indie,2015,2020‑06‑22,142,78,71,-6,12,46,218,46,8,2015,Band/Group,68
Easy Love,Sigala,dance pop,2018,2020‑06‑19,124,94,68,-4,12,65,230,18,6,2015,Solo,70
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑22,95,52,68,-6,11,18,230,12,14,2015,Duo,77
The Less I Know The Better,Tame Impala,australian psych,2015,2020‑06‑19,117,74,64,-4,17,79,216,1,3,2015,Band/Group,88
Blank Space,Taylor Swift,pop,2014,2020‑06‑19,96,68,75,-5,13,58,232,9,6,2015,Solo,79
Wildest Dreams,Taylor Swift,pop,2014,2020‑06‑19,140,67,55,-7,11,47,220,7,7,2015,Solo,76
Bad Blood,Taylor Swift,pop,2015,2020‑06‑19,170,66,65,-7,14,22,200,3,11,2015,Solo,75
Style,Taylor Swift,pop,2014,2020‑06‑19,95,79,60,-6,12,46,231,0,4,2015,Solo,75
Spirits,The Strumbellas,canadian indie,2016,2021‑08‑09,81,66,56,-6,11,79,204,16,3,2015,Band/Group,75
The Hills,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,113,56,59,-7,14,14,242,7,5,2015,Solo,88
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,108,77,71,-6,11,58,214,11,4,2015,Solo,83
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2014,2020‑06‑19,120,38,66,-6,10,43,252,39,3,2015,Solo,81
In The Night,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,168,68,51,-5,5,54,236,8,7,2015,Solo,76
Die A Happy Man,Thomas Rhett,contemporary country,2015,2020‑06‑19,166,39,60,-9,12,40,227,42,3,2015,Solo,77
Talking Body,Tove Lo,art pop,2014,2020‑06‑19,120,76,74,-5,8,11,238,10,3,2015,Solo,71
Antidote,Travis Scott,hip hop,2015,2020‑06‑19,131,53,71,-5,12,13,263,1,3,2015,Solo,78
Slow Motion,Trey Songz,dance pop,2015,2020‑06‑19,95,41,73,-8,11,29,198,68,4,2015,Solo,75
Na Na,Trey Songz,dance pop,2015,2020‑06‑19,97,48,67,-6,10,24,232,33,4,2015,Solo,67
YOUTH,Troye Sivan,australian pop,2015,2020‑06‑19,92,74,63,-4,8,59,185,6,4,2015,Solo,70
Stressed Out,Twenty One Pilots,modern rock,2015,2020‑06‑19,170,64,73,-6,6,65,202,5,14,2015,Duo,88
I Don't Mind (feat. Juicy J),Usher,atl hip hop,2014,2020‑06‑19,113,46,87,-8,9,46,252,21,18,2015,Solo,73
Shut Up and Dance,WALK THE MOON,dance pop,2014,2020‑06‑19,128,87,58,-4,26,62,199,1,6,2015,Band/Group,86
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,2020‑06‑19,80,48,69,-8,6,28,230,37,8,2015,Solo,85
Renegades,X Ambassadors,modern alternative rock,2015,2020‑06‑19,90,86,53,-6,23,53,195,1,9,2015,Band/Group,80
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑19,117,67,39,-6,12,20,194,18,6,2015,Band/Group,78
King,Years & Years,dance pop,2015,2020‑06‑19,120,86,56,-4,38,43,215,6,4,2015,Band/Group,66
I Want You To Know,Zedd,complextro,2015,2020‑06‑19,130,85,58,-3,14,37,240,1,6,2015,Solo,70
When We Were Young,Adele,british soul,2015,2020‑06‑08,144,60,38,-6,10,27,291,30,5,2016,Solo,79
Send My Love (To Your New Lover),Adele,british soul,2015,2020‑06‑08,164,53,69,-8,17,57,223,4,9,2016,Solo,77
Hello,Adele,british soul,2015,2020‑06‑08,79,43,58,-6,9,29,296,33,3,2016,Solo,77
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑08,120,82,38,-4,8,33,199,8,10,2016,Solo,71
Alarm,Anne-Marie,dance pop,2016,2020‑06‑08,147,59,76,-5,18,81,206,8,23,2016,Solo,62
Into You,Ariana Grande,dance pop,2016,2020‑06‑08,108,73,62,-6,14,37,244,2,11,2016,Solo,73
Side To Side,Ariana Grande,dance pop,2016,2020‑06‑08,159,74,65,-6,24,61,226,5,23,2016,Solo,72
Dangerous Woman,Ariana Grande,dance pop,2016,2020‑06‑08,134,60,66,-5,36,29,236,5,4,2016,Solo,72
Hurts So Good,Astrid S,alt z,2021,2020‑06‑08,120,63,67,-5,9,42,209,8,5,2016,Solo,77
Good Grief,Bastille,metropopolis,2016,2021‑08‑09,120,76,73,-5,31,88,206,15,7,2016,Band/Group,70
Sorry,Beyoncé,dance pop,2016,2020‑08‑11,130,60,78,-7,25,36,233,0,5,2016,Solo,72
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑08‑11,97,36,77,-6,10,19,198,22,20,2016,Solo,83
Exchange,Bryson Tiller,kentucky hip hop,2015,2020‑06‑08,160,43,53,-11,14,28,195,11,19,2016,Solo,81
Dancing On My Own,Calum Scott,neo mellow,2018,2020‑06‑08,113,17,68,-9,10,23,260,84,3,2016,Solo,84
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,2020‑06‑08,124,93,63,-3,15,47,222,20,3,2016,Solo,84
My Way,Calvin Harris,dance pop,2016,2020‑06‑08,120,91,82,-3,16,54,219,9,4,2016,Solo,78
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020‑06‑08,100,56,73,-8,18,35,218,62,13,2016,Solo,73
One Call Away,Charlie Puth,dance pop,2016,2020‑06‑08,91,61,67,-5,12,47,194,40,3,2016,Solo,70
Dangerously,Charlie Puth,dance pop,2016,2021‑08‑17,112,52,70,-8,20,23,199,36,4,2016,Solo,58
Sex,Cheat Codes,dance pop,2016,2020‑06‑08,102,69,51,-6,14,21,228,0,17,2016,Trio,66
Back To Sleep,Chris Brown,dance pop,2015,2020‑06‑08,93,65,65,-5,9,72,201,4,24,2016,Solo,65
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,2020‑06‑08,130,77,61,-4,16,30,226,4,4,2016,Band/Group,65
Hymn for the Weekend,Coldplay,permanent wave,2015,2020‑06‑08,90,69,49,-6,33,41,258,21,4,2016,Band/Group,86
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020‑06‑08,112,92,64,-4,15,53,264,0,4,2016,Band/Group,79
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,2020‑06‑08,110,92,37,-3,9,37,207,0,5,2016,Solo,72
"Sit Still, Look Pretty",Daya,alt z,2016,2020‑06‑08,182,74,66,-4,11,54,202,14,27,2016,Solo,76
Hide Away,Daya,alt z,2016,2020‑06‑08,95,80,89,-5,7,46,192,23,8,2016,Solo,72
Let Me Love You,DJ Snake,dance pop,2016,2020‑06‑08,100,72,65,-5,14,16,206,9,3,2016,Solo,86
Middle,DJ Snake,dance pop,2016,2020‑06‑25,105,70,58,-5,5,22,221,1,4,2016,Solo,79
Cake By The Ocean,DNCE,dance pop,2016,2020‑06‑08,119,75,77,-5,4,90,219,15,5,2016,Band/Group,84
Too Good,Drake,canadian hip hop,2016,2020‑06‑08,118,65,79,-8,10,40,263,5,10,2016,Solo,78
Hotter Than Hell,Dua Lipa,dance pop,2017,2020‑06‑08,110,87,53,-4,6,53,188,1,9,2016,Solo,70
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,2020‑06‑08,91,91,72,-3,14,87,200,9,10,2016,Solo,72
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020‑06‑08,105,59,80,-6,6,59,214,10,4,2016,Band/Group,81
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,2020‑06‑08,95,79,69,-5,5,76,211,2,5,2016,Band/Group,67
My House,Flo Rida,dance pop,2015,2020‑06‑08,94,70,69,-5,13,74,192,2,5,2016,Solo,81
Say It (feat. Tove Lo),Flume,australian dance,2016,2020‑06‑29,75,53,60,-7,6,26,263,7,3,2016,Solo,64
Pink + White,Frank Ocean,alternative r&b,2016,2020‑06‑08,160,55,54,-7,42,55,185,67,10,2016,Solo,84
Low Life (feat. The Weeknd),Future,atl hip hop,2016,2020‑06‑08,144,33,72,-8,15,10,314,34,7,2016,Solo,78
No Money,Galantis,dance pop,2016,2020‑06‑08,126,92,67,-4,24,80,189,3,4,2016,Duo,72
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,2020‑06‑08,93,28,49,-13,10,18,251,69,30,2016,Solo,82
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020‑06‑08,112,67,76,-7,16,39,251,2,10,2016,Solo,82
Starving,Hailee Steinfeld,dance pop,2016,2020‑06‑08,100,62,73,-4,11,51,182,38,6,2016,Solo,81
Can I Be Him,James Arthur,pop,2016,2020‑06‑08,108,54,70,-6,9,48,247,31,5,2016,Solo,80
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,126,45,68,-6,5,35,217,26,3,2016,Solo,79
Love Me Now,John Legend,neo soul,2016,2020‑06‑08,123,77,42,-4,11,72,210,57,9,2016,Solo,59
Perfect Strangers,Jonas Blue,dance pop,2018,2020‑06‑08,118,86,73,-4,21,70,197,39,5,2016,Solo,80
Fast Car,Jonas Blue,dance pop,2018,2020‑06‑08,114,58,67,-7,31,55,212,47,6,2016,Solo,77
Love Yourself,Justin Bieber,canadian pop,2015,2020‑06‑08,100,38,61,-10,28,52,234,84,44,2016,Solo,87
Sorry,Justin Bieber,canadian pop,2015,2020‑06‑08,100,76,65,-4,30,41,201,8,5,2016,Solo,85
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2020‑06‑08,113,83,67,-6,10,70,238,1,7,2016,Solo,77
Gold,Kiiara,alt z,2020,2020‑06‑08,113,41,60,-9,13,41,226,62,34,2016,Solo,64
Stole the Show,Kygo,edm,2016,2020‑06‑08,100,64,64,-8,32,48,223,27,23,2016,Solo,78
Stay (feat. Maty Noyes),Kygo,edm,2015,2020‑06‑08,103,74,65,-8,17,38,239,4,4,2016,Solo,65
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,2020‑06‑08,169,79,50,-4,65,74,243,26,32,2016,Solo,80
Shout Out to My Ex,Little Mix,dance pop,2016,2020‑06‑08,126,75,77,-4,11,80,246,2,9,2016,Band/Group,81
7 Years,Lukas Graham,danish pop,2016,2020‑06‑08,120,47,77,-6,39,34,237,29,5,2016,Band/Group,83
Alaska,Maggie Rogers,indie pop,2019,2021‑08‑09,104,39,85,-11,11,18,188,41,5,2016,Solo,70
Cold Water,Major Lazer,dance pop,2016,2020‑06‑08,93,80,61,-5,16,50,185,7,4,2016,Trio,72
You & Me,Marc E. Bassy,pop,2017,2020‑06‑08,84,64,45,-8,19,61,218,4,28,2016,Solo,69
Alone,Marshmello,brostep,2016,2021‑08‑17,142,95,63,-4,11,42,274,2,3,2016,Solo,76
In the Name of Love,Martin Garrix,dance pop,2016,2020‑06‑08,134,52,50,-6,45,17,196,11,4,2016,Solo,81
NO,Meghan Trainor,dance pop,2017,2020‑06‑08,92,80,56,-4,74,66,214,1,21,2016,Solo,75
